service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
1001M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
1002X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
1003J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
1004V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
1005S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
1006D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
1007L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
1008M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
1009X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
1010J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
1011V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
1012S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
1013D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
1014L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
1084D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
1085L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
1086M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
1087X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
1088J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
1089V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
1090S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
1091D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
1092L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
1093M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
1094X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
1095J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
1096V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
1097S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
1098D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
1099L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
2001M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
2002X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
2003J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
2004V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
2005S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
2006D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
2007L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
2008M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
2009X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
2010J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
2011V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
2012S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
2013D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
2014L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
2084D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
2085L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
2086M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
2087X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
2088J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
2089V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
2090S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
2091D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
2092L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
2093M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
2094X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
2095J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
2096V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
2097S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
2098D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
2099L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
3001M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
3002X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
3003J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
3004V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
3005S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
3006D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
3007L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
3008M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
3009X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
3010J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
3011V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
3012S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
3013D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
3014L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
3084D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
3085L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
3086M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
3087X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
3088J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
3089V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
3090S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
3091D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
3092L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
3093M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
3094X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
3095J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
3096V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
3097S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
3098D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
3099L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
3101M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
3102X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
3103J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
3104V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
3105S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
3106D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
3107L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
3108M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
3109X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
3110J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
3111V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
3112S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
3113D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
3114L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
3184D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
3185L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
3186M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
3187X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
3188J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
3189V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
3190S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
3191D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
3192L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
3193M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
3194X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
3195J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
3196V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
3197S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
3198D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
3199L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
3201M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
3202X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
3203J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
3204V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
3205S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
3206D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
3207L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
3208M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
3209X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
3210J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
3211V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
3212S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
3213D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
3214L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
3284D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
3285L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
3286M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
3287X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
3288J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
3289V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
3290S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
3291D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
3292L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
3293M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
3294X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
3295J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
3296V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
3297S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
3298D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
3299L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
4001M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
4002X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
4003J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
4004V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
4005S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
4006D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
4007L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
4008M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
4009X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
4010J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
4011V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
4012S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
4013D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
4014L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
4084D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
4085L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
4086M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
4087X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
4088J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
4089V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
4090S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
4091D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
4092L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
4093M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
4094X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
4095J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
4096V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
4097S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
4098D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
4099L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
4101M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
4102X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
4103J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
4104V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
4105S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
4106D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
4107L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
4108M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
4109X,0,0,1,0,0,0,0,20260422,20260422                                                                                                                 
4110J,0,0,0,1,0,0,0,20260423,20260423                                                                                                                 
4111V,0,0,0,0,1,0,0,20260424,20260424                                                                                                                 
4112S,0,0,0,0,0,1,0,20260425,20260425                                                                                                                 
4113D,0,0,0,0,0,0,1,20260426,20260426                                                                                                                 
4114L,1,0,0,0,0,0,0,20260427,20260427                                                                                                                 
4184D,0,0,0,0,0,0,1,20260329,20260329                                                                                                                 
4185L,1,0,0,0,0,0,0,20260330,20260330                                                                                                                 
4186M,0,1,0,0,0,0,0,20260331,20260331                                                                                                                 
4187X,0,0,1,0,0,0,0,20260401,20260401                                                                                                                 
4188J,0,0,0,1,0,0,0,20260402,20260402                                                                                                                 
4189V,0,0,0,0,1,0,0,20260403,20260403                                                                                                                 
4190S,0,0,0,0,0,1,0,20260404,20260404                                                                                                                 
4191D,0,0,0,0,0,0,1,20260405,20260405                                                                                                                 
4192L,1,0,0,0,0,0,0,20260406,20260406                                                                                                                 
4193M,0,1,0,0,0,0,0,20260407,20260407                                                                                                                 
4194X,0,0,1,0,0,0,0,20260408,20260408                                                                                                                 
4195J,0,0,0,1,0,0,0,20260409,20260409                                                                                                                 
4196V,0,0,0,0,1,0,0,20260410,20260410                                                                                                                 
4197S,0,0,0,0,0,1,0,20260411,20260411                                                                                                                 
4198D,0,0,0,0,0,0,1,20260412,20260412                                                                                                                 
4199L,1,0,0,0,0,0,0,20260413,20260413                                                                                                                 
4501M,0,1,0,0,0,0,0,20260414,20260414                                                                                                                 
4502X,0,0,1,0,0,0,0,20260415,20260415                                                                                                                 
4503J,0,0,0,1,0,0,0,20260416,20260416                                                                                                                 
4504V,0,0,0,0,1,0,0,20260417,20260417                                                                                                                 
4505S,0,0,0,0,0,1,0,20260418,20260418                                                                                                                 
4506D,0,0,0,0,0,0,1,20260419,20260419                                                                                                                 
4507L,1,0,0,0,0,0,0,20260420,20260420                                                                                                                 
4508M,0,1,0,0,0,0,0,20260421,20260421                                                                                                                 
